name,cluster,subject,owner,phone,size_est,priority,maya_precall,visit_status,pilot_status,pain_notes
PANDEY CLASSES ARA,,,,,,2,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). city in app name Platform=Classplus (reseller) vendor=Education Thanos Media app=co.thanos.rupyb. 45 reviews / 2 at 1-2 star. MENTIONS (verbatim): 5* Nice aap, All Questions are easy to understand, step by step solutions, easy method in this app. this app will be fruitful to those students who are looking for advanced maths, Competitive maths an || 5* Easy to learn All Hard and simple mathematics questions || 5* Best Study point For easyly understand All hard and simple questions Thanks Sir"
Physics World Ara,,,,,,2,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). city in app name Platform=self-built / other vendor=Express Educators app=com.physicsworld.ara.education. 52 reviews / 0 at 1-2 star. MENTIONS (verbatim): 5* Overall, a great app with fantastic content and practice exercises. || 5* Best App for Physics class 11th 12th it's provide better experience and education material like Assignment and quality content"
Aranyak Civil Services,,,,,,2,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). city in app name Platform=Classplus (reseller) vendor=Education White Media app=co.white.ozgjj. 3 reviews / 1 at 1-2 star."
ARAVALI (LSA) coaching,,,,,,2,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). city in app name Platform=Classplus (reseller) vendor=Education Andrea Media app=co.andrea.dyxbm. 6 reviews / 1 at 1-2 star."
AARAV COACHING CENTER,,,,,,2,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). city in app name Platform=Classplus vendor=Education Media app=co.classplus.arav. 13 reviews / 0 at 1-2 star."
ARA Finserv,,,,,,2,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). city in app name Platform=self-built / other vendor=Ara Financial Services Pvt Ltd app=com.iw.arafinserv. 8 reviews / 0 at 1-2 star."
Aparajita Coaching Center,,,,,,2,none,,,"NEEDS CONTACT (get phone from Google Maps / their own site — the Play listing's developer contact is the VENDOR's, not theirs). city in app name Platform=Classplus (reseller) vendor=Education World Media app=co.groot.rzdne. 4 reviews / 0 at 1-2 star."
